date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2000-01-04,Egypt,Togo,2,1,Friendly,Aswan,Egypt,FALSE
2000-01-07,Tunisia,Togo,7,0,Friendly,Tunis,Tunisia,FALSE
2000-01-08,Trinidad and Tobago,Canada,0,0,Friendly,Port of Spain,Trinidad and Tobago,FALSE
2000-01-09,Burkina Faso,Gabon,1,1,Friendly,Ouagadougou,Burkina Faso,FALSE
2000-01-09,Guatemala,Armenia,1,1,Friendly,Los Angeles,United States,TRUE
2000-01-09,Ivory Coast,Egypt,2,0,Friendly,Abidjan,Ivory Coast,FALSE
2000-01-09,Mexico,Iran,2,1,Friendly,Oakland,United States,TRUE
2000-01-11,Bermuda,Canada,0,2,Friendly,Hamilton,Bermuda,FALSE
2000-01-11,Burkina Faso,Cameroon,2,2,Friendly,Ouagadougou,Burkina Faso,FALSE
2000-01-13,Senegal,Cameroon,0,0,Friendly,Dakar,Senegal,FALSE
2000-01-14,China PR,New Zealand,1,0,Friendly,Guangzhou,China PR,FALSE
2000-01-16,Jamaica,New Zealand,2,1,Friendly,Guangzhou,China PR,TRUE
2000-01-16,United States,Iran,1,1,Friendly,Pasadena,United States,FALSE
2000-01-18,Ghana,Tunisia,2,0,Friendly,Accra,Ghana,FALSE
2000-01-18,Morocco,Trinidad and Tobago,1,0,Friendly,el-Jadida,Morocco,FALSE
2000-01-19,Panama,Guatemala,2,0,Friendly,Panama City,Panama,FALSE
2000-01-19,Togo,Egypt,1,0,Friendly,Lomé,Togo,FALSE
2000-01-20,Burkina Faso,Algeria,1,0,Friendly,Ouagadougou,Burkina Faso,FALSE
2000-01-20,Malta,Qatar,2,0,Friendly,Attard,Malta,FALSE
2000-01-21,New Zealand,South Korea,0,1,Friendly,Auckland,New Zealand,FALSE
2000-01-22,Ghana,Cameroon,1,1,African Cup of Nations,Accra,Ghana,FALSE
2000-01-23,China PR,Philippines,8,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE
2000-01-23,Egypt,Zambia,2,0,African Cup of Nations,Kano,Nigeria,TRUE
2000-01-23,New Zealand,South Korea,0,0,Friendly,Palmerstone North,New Zealand,FALSE
2000-01-23,Nigeria,Tunisia,4,2,African Cup of Nations,Lagos,Nigeria,FALSE
2000-01-23,South Africa,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE
2000-01-23,Vietnam,Guam,11,0,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE
2000-01-24,DR Congo,Algeria,0,0,African Cup of Nations,Kumasi,Ghana,TRUE
2000-01-24,Ivory Coast,Togo,1,1,African Cup of Nations,Accra,Ghana,TRUE
2000-01-24,Qatar,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,FALSE
2000-01-25,Burkina Faso,Senegal,1,3,African Cup of Nations,Kano,Nigeria,TRUE
2000-01-25,Morocco,Congo,1,0,African Cup of Nations,Lagos,Nigeria,TRUE
2000-01-26,China PR,Guam,19,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE
